hund_katze	0	1874
hund_+e_katze	0	1874
hund_+s_katze	0	1874
erde_-e_ei	0	1595
erde_ei	0	1595
erde_+n_ei	0	1595
pferd_wolke	0	1311
pferd_+e_wolke	0	1311
katze_hund	0	1258
katze_+n_hund	0	1258
ei_erde	0	947
ei_+er_erde	0	947
schwein_frosch	0	888
schwein_+e_frosch	0	888
schwein_+s_frosch	0	888
maus_elefant	0	867
maus_+e_elefant	0	867
schaf_wolke	0	540
schaf_+s_wolke	0	540
huhn_fuchs	0	490
huhn_+=er_fuchs	0	490
elefant_erdbeere	0	418
elefant_+en_erdbeere	0	418
münz_-e_knopf	0	365
münze_+n_knopf	0	365
gans_würfel	0	322
gans_=e_würfel	0	322
birne_-e_bus	0	196
birne_+n_bus	0	196
hahn_hund	0	173
hahn_+en_hund	0	173
krokodil_ente	0	167
krokodil_+s_ente	0	167
papagei_krokodil	0	157
papagei_+en_krokodil	0	157
bär_hund	0	150
bär_+en_hund	0	150
strauß_palme	0	124
strauß_+en_palme	0	124
pfau_palme	0	97
pfau_+en_palme	0	97
schwan_trompete	0	48
schwan_+en_trompete	0	48
alligator_ente	0	27
alligator_+en_ente	0	27
erdbeere_-e_ananas	0	7
erdbeere_+n_ananas	0	7